# ~#objects	no-lto	lto
12 0.59 0.63
22 0.62 0.62
32 0.59 0.66
42 0.60 0.63
52 0.59 0.64
62 0.61 0.64
72 0.60 0.64
82 0.59 0.64
92 0.59 0.64
102 0.59 0.65
112 0.60 0.66
122 0.59 0.70
132 0.60 0.69
142 0.66 0.69
152 0.68 0.68
162 0.62 0.66
172 0.63 0.71
182 0.62 0.67
192 0.63 0.69
202 0.65 0.68
212 0.63 0.67
222 0.63 0.68
232 0.63 0.73
242 0.65 0.69
252 0.63 0.68
262 0.65 0.69
272 0.64 0.68
282 0.64 0.70
292 0.64 0.72
302 0.64 0.72
312 0.66 0.69
322 0.65 0.71
332 0.66 0.73
342 0.65 0.73
352 0.66 0.73
362 0.66 0.73
372 0.67 0.74
382 0.66 0.72
392 0.66 0.74
402 0.69 0.75
412 0.66 0.76
422 0.68 0.78
432 0.69 0.77
442 0.70 0.78
452 0.69 0.79
462 0.68 0.82
472 0.69 0.79
482 0.70 0.79
492 0.68 0.79
502 0.68 0.81
512 0.71 0.79
522 0.71 0.79
532 0.71 0.80
542 0.70 0.81
552 0.72 0.82
562 0.73 0.83
572 0.73 0.83
582 0.71 0.85
592 0.72 0.83
602 0.74 0.81
612 0.72 0.83
622 0.75 0.83
632 0.76 0.83
642 0.75 0.87
652 0.74 0.85
662 0.73 0.83
672 0.75 0.82
682 0.76 0.84
692 0.74 0.84
702 0.74 0.90
712 0.75 0.89
722 0.75 0.85
732 0.77 0.85
742 0.78 0.87
752 0.78 1.01
762 0.78 0.87
772 0.77 0.89
782 0.76 0.88
792 0.77 0.94
802 0.75 1.04
812 0.77 0.89
822 0.78 0.91
832 0.79 0.90
842 0.79 0.89
852 0.78 0.89
862 0.79 0.88
872 0.78 0.89
882 0.80 0.89
892 0.78 0.91
902 0.79 0.90
912 0.80 0.92
922 0.82 0.91
932 0.79 0.95
942 0.82 0.92
952 0.80 0.93
962 0.82 0.91
972 0.80 0.91
982 0.80 0.92
992 0.81 0.93
1002 0.80 0.72
