# ~#objects	no-lto	lto
12 0.52 0.60
22 0.53 0.61
32 0.53 0.59
42 0.53 0.59
52 0.53 0.59
62 0.52 0.60
72 0.52 0.59
82 0.53 0.60
92 0.54 0.60
102 0.53 0.62
112 0.55 0.63
122 0.55 0.63
132 0.54 0.63
142 0.54 0.63
152 0.56 0.64
162 0.55 0.65
172 0.55 0.64
182 0.55 0.66
192 0.56 0.66
202 0.56 0.67
212 0.57 0.66
222 0.57 0.68
232 0.57 0.67
242 0.57 0.68
252 0.58 0.71
262 0.57 0.68
272 0.57 0.69
282 0.58 0.70
292 0.59 0.71
302 0.59 0.71
312 0.59 0.71
322 0.59 0.71
332 0.59 0.73
342 0.61 0.74
352 0.61 0.73
362 0.61 0.75
372 0.60 0.75
382 0.61 0.74
392 0.61 0.75
402 0.62 0.77
412 0.62 0.76
422 0.64 0.75
432 0.61 0.76
442 0.62 0.82
452 0.62 0.78
462 0.64 0.83
472 0.64 0.78
482 0.63 0.78
492 0.63 0.79
502 0.64 0.80
512 0.64 0.81
522 0.64 0.81
532 0.65 0.81
542 0.64 0.83
552 0.65 0.82
562 0.65 0.82
572 0.65 0.83
582 0.65 0.84
592 0.65 0.87
602 0.70 0.86
612 0.66 0.84
622 0.66 0.85
632 0.65 0.86
642 0.66 0.86
652 0.68 0.86
662 0.69 0.91
672 0.67 0.90
682 0.71 0.88
692 0.69 0.88
702 0.68 0.90
712 0.70 0.90
722 0.70 0.89
732 0.68 0.91
742 0.69 0.94
752 0.71 0.92
762 0.70 0.91
772 0.71 0.93
782 0.70 0.93
792 0.71 0.93
802 0.72 0.93
812 0.72 0.94
822 0.73 0.95
832 0.72 0.95
842 0.71 0.95
852 0.73 0.95
862 0.72 0.96
872 0.72 0.96
882 0.73 0.98
892 0.74 0.97
902 0.73 0.96
912 0.73 0.97
922 0.74 0.97
932 0.77 0.99
942 0.74 0.99
952 0.76 0.98
962 0.74 1.00
972 0.76 0.99
982 0.75 1.00
992 0.75 1.01
1002 0.77 1.03
