# ~#objects	no-lto	lto
12 0.65 0.66
22 0.65 0.66
32 0.65 0.66
42 0.65 0.71
52 0.66 0.72
62 0.68 0.70
72 0.67 0.70
82 0.67 0.69
92 0.68 0.71
102 0.68 0.73
112 0.68 0.73
122 0.70 0.73
132 0.69 0.74
142 0.71 0.73
152 0.72 0.73
162 0.76 0.76
172 0.73 0.71
182 0.76 0.75
192 0.73 0.77
202 0.74 0.78
212 0.74 0.75
222 0.76 0.75
232 0.75 0.78
242 0.75 0.77
252 0.76 0.79
262 0.76 0.78
272 0.80 0.80
282 0.77 0.79
292 0.78 0.79
302 0.78 0.78
312 0.78 0.81
322 0.80 0.81
332 0.79 0.80
342 0.79 0.80
352 0.80 0.81
362 0.83 0.82
372 0.80 0.80
382 0.82 0.84
392 0.83 0.83
402 0.83 0.85
412 0.84 0.86
422 0.84 0.85
432 0.83 0.86
442 0.85 0.86
452 0.87 0.85
462 0.86 0.88
472 0.86 0.87
482 0.86 0.87
492 0.89 0.88
502 0.88 0.89
512 0.89 0.90
522 0.89 0.93
532 0.89 0.91
542 0.90 0.89
552 0.90 0.91
562 0.92 0.90
572 0.92 0.94
582 0.92 0.93
592 0.93 0.92
602 0.96 0.94
612 0.98 0.95
622 0.94 0.95
632 0.97 0.95
642 0.95 0.94
652 0.95 0.96
662 0.95 0.94
672 0.96 0.97
682 0.99 0.99
692 1.01 0.96
702 0.98 1.02
712 0.98 1.00
722 0.99 1.02
732 0.98 1.03
742 1.00 0.99
752 0.99 1.01
762 1.01 1.01
772 1.00 1.03
782 1.02 1.02
792 1.06 1.03
802 1.04 1.04
812 1.02 1.05
822 1.01 1.04
832 1.05 1.09
842 1.05 1.07
852 1.05 1.05
862 1.06 1.06
872 1.06 1.07
882 1.05 1.09
892 1.07 1.06
902 1.10 1.10
912 1.07 1.07
922 1.11 1.08
932 1.07 1.09
942 1.11 1.10
952 1.11 1.09
962 1.12 1.11
972 1.12 1.13
982 1.16 1.10
992 1.14 1.14
1002 1.14 1.16
